Name,Role,Tier,Score,Trend,Win%,Role%,Pick%,Ban%,KDA
Draven,ADC,Strong / S,57.87,-10.55,47.50%,96.15%,9.85%,35.08%,2.07
Ekko,JUNGLE,Strong / S,61.35,+11.93,60.36%,73.51%,5.34%,2.96%,3.69
Ekko,MID,Fair / B,44.55,+2.63,48.65%,24.50%,2.35%,2.96%,2.42
Elise,JUNGLE,Good / A,49.43,+3.51,54.55%,90.41%,2.85%,2.79%,3.54
Evelynn,JUNGLE,Strong / S,57.95,+10.45,62.22%,98.90%,2.97%,5.71%,3.87
Ezreal,ADC,God / S+,70.03,+11.10,50.59%,94.44%,17.77%,2.52%,2.67
Fiddlesticks,JUNGLE,Fair / B,45.44,-5.71,50.70%,94.67%,3.44%,6.34%,2.77
Fiora,TOP,God / S+,63.64,+0.38,53.19%,98.63%,10.18%,24.63%,2.08
Fizz,MID,Bad / D,25.12,-23.12,28.00%,96.15%,1.54%,1.05%,1.84
Galio,MID,Good / A,49.42,-7.59,50.00%,91.95%,3.49%,0.61%,3.01
Gangplank,TOP,Fair / B,46.41,-2.95,44.12%,84.30%,5.01%,5.59%,2.27
Garen,TOP,Strong / S,59.92,+2.36,63.41%,83.67%,2.88%,1.04%,2.54
Gnar,TOP,Fair / B,45.39,-5.23,44.12%,99.03%,5.51%,0.69%,1.81
Gragas,TOP,Fair / B,47.57,-2.69,49.47%,69.34%,3.04%,1.12%,2.13
Graves,JUNGLE,God / S+,84.46,+31.22,49.30%,93.77%,17.85%,12.06%,2.97
Gwen,TOP,Good / A,49.90,-10.61,54.55%,87.30%,2.31%,0.86%,1.84
Hecarim,JUNGLE,God / S+,84.26,+3.49,49.15%,98.99%,10.51%,48.04%,3.02
Heimerdinger,MID,Fair / B,48.19,+5.97,55.56%,16.90%,1.10%,1.44%,2.73
Heimerdinger,SUPPORT,Bad / D,35.76,999NEW,53.00%,46.95%,1.43%,1.44%,2.46
Heimerdinger,ADC,Bad / D,34.14,-4.03,51.61%,29.11%,0.92%,1.44%,2.55
Illaoi,TOP,Good / A,48.77,+3.86,53.75%,87.91%,2.44%,1.32%,1.62
Irelia,TOP,Good / A,54.46,+3.54,53.91%,54.94%,5.48%,13.13%,1.85
Irelia,MID,Good / A,49.58,+1.01,52.38%,45.06%,3.37%,13.13%,2.13
Ivern,JUNGLE,Strong / S,57.30,+3.26,65.22%,69.70%,1.28%,0.48%,4.23
Janna,SUPPORT,God / S+,70.07,+0.55,56.55%,99.32%,8.93%,5.58%,3.67
Jarvan IVJarvan IV,JUNGLE,Fair / B,44.76,-4.91,45.13%,88.28%,4.76%,0.33%,3.40
Jax,TOP,Good / A,56.30,-1.78,55.08%,95.90%,6.36%,12.03%,1.76
Jayce,TOP,Fair / B,44.71,+1.09,47.83%,87.34%,2.70%,0.38%,1.77
Jhin,ADC,Strong / S,60.04,+4.52,54.05%,97.80%,10.52%,0.54%,3.28
Jinx,ADC,Weak / C,39.88,-5.71,49.71%,98.28%,5.05%,0.29%,2.32
Kai'SaKai'Sa,ADC,God / S+,86.30,+24.64,51.42%,98.25%,24.72%,2.38%,2.76
Kalista,ADC,Fair / B,46.53,-4.48,50.22%,94.14%,7.07%,8.67%,2.43
Karma,SUPPORT,God / S+,62.39,-0.74,49.32%,89.39%,10.63%,3.20%,2.70
Karthus,ADC,Fair / B,47.39,+3.71,62.32%,27.38%,1.64%,6.86%,2.46
Karthus,MID,Fair / B,44.63,+3.04,53.13%,12.70%,0.78%,6.86%,2.33
Karthus,JUNGLE,Weak / C,42.97,-1.02,46.32%,53.97%,4.31%,6.86%,2.52
Kassadin,MID,Good / A,52.97,-1.19,50.57%,95.60%,4.39%,15.32%,2.92
Katarina,MID,Strong / S,59.49,+1.12,53.72%,96.80%,6.59%,12.27%,2.70
Kayle,MID,Strong / S,56.84,+13.04,67.74%,46.27%,0.56%,0.63%,2.83
Kayle,TOP,Good / A,53.57,+17.68,58.82%,50.75%,1.76%,0.63%,2.14
Kayn,JUNGLE,God / S+,64.00,+5.21,53.41%,95.14%,7.83%,24.03%,2.85
Kennen,TOP,Strong / S,58.14,+15.18,61.11%,94.74%,3.00%,1.17%,2.52
Kha'ZixKha'Zix,JUNGLE,Good / A,55.57,+5.41,55.24%,99.06%,5.78%,2.48%,2.97
Kindred,JUNGLE,Strong / S,61.36,+11.69,58.00%,96.15%,6.53%,12.02%,2.86
Kled,TOP,Good / A,50.45,-2.97,51.28%,93.41%,2.53%,0.48%,2.84
Kog'MawKog'Maw,ADC,Bad / D,23.61,-20.20,40.48%,97.67%,1.77%,0.33%,2.55
LeBlanc,MID,Strong / S,57.48,+4.20,53.42%,99.32%,5.39%,9.96%,3.17
Lee SinLee Sin,JUNGLE,God / S+,81.88,+30.25,55.20%,93.28%,15.14%,8.08%,3.37
Leona,SUPPORT,Good / A,54.53,+4.99,55.94%,98.62%,5.79%,2.13%,2.70
Lillia,JUNGLE,Fair / B,43.81,-1.39,47.17%,85.48%,3.79%,1.09%,3.21
Lissandra,MID,Weak / C,41.57,-8.09,43.66%,95.95%,2.64%,0.49%,2.58
Lucian,ADC,Fair / B,46.07,-1.69,55.65%,76.67%,4.38%,0.64%,2.58
Lucian,MID,Bad / D,31.55,-2.49,37.50%,21.33%,0.65%,0.64%,2.14
Lulu,SUPPORT,God / S+,80.59,+2.21,53.91%,93.88%,12.29%,14.57%,3.14
Lux,MID,Fair / B,46.10,-6.15,45.45%,28.57%,3.39%,1.53%,3.14
Lux,SUPPORT,Bad / D,32.46,-13.86,39.45%,70.78%,5.81%,1.53%,2.32
Malphite,TOP,Weak / C,39.89,-5.09,39.53%,81.13%,2.21%,2.47%,2.63
Malzahar,MID,Fair / B,46.18,+5.15,51.85%,96.43%,1.97%,1.12%,2.42
Maokai,TOP,Good / A,52.09,-8.03,50.00%,31.27%,5.38%,3.50%,2.45
Maokai,SUPPORT,Fair / B,47.67,+0.13,53.28%,32.88%,4.99%,3.50%,2.38
Maokai,JUNGLE,Fair / B,44.27,-1.28,50.39%,34.23%,2.82%,3.50%,3.09
Master YiMaster Yi,JUNGLE,Good / A,51.76,+3.98,51.69%,87.71%,5.37%,19.31%,2.17
Miss FortuneMiss Fortune,ADC,God / S+,91.57,-2.20,55.03%,95.63%,21.06%,19.22%,2.68
Mordekaiser,TOP,Fair / B,47.53,-2.19,47.37%,73.08%,5.00%,4.52%,1.77
Mordekaiser,JUNGLE,Bad / D,21.02,-41.06,31.82%,14.10%,1.35%,4.52%,2.20
Morgana,SUPPORT,Good / A,53.39,+7.00,56.58%,71.70%,4.73%,9.44%,2.78
Morgana,JUNGLE,Bad / D,18.78,999NEW,30.00%,18.87%,0.28%,9.44%,2.92
Nami,SUPPORT,God / S+,64.71,+12.61,58.78%,99.24%,7.22%,0.49%,3.37
Nasus,TOP,Fair / B,48.42,+4.89,52.94%,55.74%,1.50%,0.81%,2.14
Nautilus,SUPPORT,God / S+,76.45,+14.36,53.67%,99.72%,12.56%,8.79%,2.62
Neeko,MID,Good / A,55.68,+4.43,66.67%,61.76%,0.92%,0.20%,2.45
Nidalee,JUNGLE,Strong / S,58.79,+6.61,51.89%,99.53%,7.38%,8.19%,3.41
Nilah,ADC,Fair / B,43.54,-1.00,52.78%,97.30%,4.61%,5.69%,2.48
Nocturne,JUNGLE,Weak / C,42.88,-4.85,49.18%,75.31%,2.44%,0.74%,3.38
Nunu,JUNGLE,Fair / B,45.27,-1.12,51.22%,73.21%,3.03%,1.68%,3.04
Olaf,JUNGLE,Fair / B,48.07,-4.65,60.00%,28.74%,1.05%,2.29%,2.87
Olaf,TOP,Weak / C,41.25,-8.67,43.55%,71.26%,2.93%,2.29%,1.66
Orianna,MID,Fair / B,46.73,-1.11,48.48%,100.00%,3.02%,0.33%,2.82
Ornn,TOP,Good / A,53.02,-4.83,52.33%,81.13%,5.59%,0.56%,2.10
Pantheon,TOP,Fair / B,45.66,+3.14,50.00%,41.98%,1.36%,0.84%,2.07
Poppy,TOP,Good / A,50.72,+8.83,53.49%,33.33%,1.58%,1.99%,2.73
Poppy,JUNGLE,Good / A,50.22,+7.40,56.96%,61.24%,2.30%,1.99%,3.53
Pyke,SUPPORT,Strong / S,60.79,+1.13,47.41%,90.61%,8.76%,23.40%,2.52
Qiyana,MID,Fair / B,43.57,-5.35,45.05%,75.21%,3.35%,4.28%,2.30
Qiyana,JUNGLE,Bad / D,34.47,-7.30,44.44%,22.31%,1.09%,4.28%,3.07
Quinn,TOP,Fair / B,44.18,+4.37,50.00%,86.96%,0.99%,0.44%,1.73
Rakan,SUPPORT,Weak / C,41.42,-14.46,47.93%,100.00%,4.56%,0.29%,3.04
Rammus,JUNGLE,Good / A,50.70,+2.56,55.36%,77.78%,2.56%,5.73%,3.91
Rek'SaiRek'Sai,JUNGLE,Good / A,56.31,+5.69,58.75%,97.56%,4.28%,7.68%,3.17
Rell,SUPPORT,Good / A,51.49,+5.83,58.59%,98.02%,3.94%,0.47%,2.67
Renata GlascRenata Glasc,SUPPORT,God / S+,68.10,+9.39,57.14%,99.43%,8.53%,6.24%,3.24
Renekton,TOP,Good / A,49.07,-6.95,46.32%,85.97%,6.62%,5.87%,1.81
Renekton,MID,Weak / C,42.79,-7.20,51.72%,13.12%,1.01%,5.87%,1.89
Rengar,JUNGLE,Good / A,51.35,+3.94,52.63%,66.90%,4.24%,19.05%,2.91
Rengar,TOP,Fair / B,48.00,+7.09,52.22%,31.69%,1.33%,19.05%,2.13
Riven,TOP,Strong / S,58.07,+5.49,59.21%,88.89%,4.74%,4.47%,2.19
Rumble,MID,Good / A,51.59,-7.13,56.25%,55.17%,2.18%,1.00%,2.98
Rumble,TOP,Good / A,49.52,+9.36,52.17%,39.66%,1.58%,1.00%,2.69
Ryze,MID,Good / A,49.66,+7.19,56.94%,91.14%,1.71%,0.04%,2.44
Samira,ADC,Good / A,53.79,+3.93,50.82%,99.19%,9.30%,11.79%,2.60
Sejuani,JUNGLE,Fair / B,43.98,-11.20,47.95%,36.50%,2.99%,0.97%,3.69
Sejuani,TOP,Fair / B,43.25,-7.82,42.72%,51.50%,3.75%,0.97%,2.23
Senna,SUPPORT,Good / A,53.23,-0.05,52.58%,95.10%,6.47%,2.75%,2.86
Seraphine,ADC,Fair / B,44.01,+2.79,54.21%,56.32%,3.70%,2.06%,2.81
Seraphine,MID,Weak / C,38.62,-4.57,41.38%,15.26%,1.42%,2.06%,3.03
Seraphine,SUPPORT,Bad / D,28.20,-20.39,40.74%,28.42%,3.96%,2.06%,2.33
Sett,TOP,Strong / S,56.51,-1.69,55.14%,72.55%,6.85%,2.27%,1.91
Sett,MID,Weak / C,38.12,-8.00,43.75%,12.55%,1.65%,2.27%,2.01
Sett,SUPPORT,Bad / D,37.38,+6.76,56.25%,12.55%,0.99%,2.27%,2.17
Shaco,JUNGLE,Weak / C,41.65,-2.11,47.30%,77.08%,3.33%,6.54%,2.63
Shen,TOP,Good / A,55.76,-5.25,51.46%,91.96%,5.00%,0.92%,3.53
Shyvana,JUNGLE,Weak / C,38.18,-1.91,50.00%,64.52%,1.10%,0.27%,2.60
Singed,MID,Fair / B,47.45,-11.59,56.25%,32.99%,0.88%,1.47%,2.43
Singed,TOP,Fair / B,44.69,-17.37,45.61%,58.76%,2.45%,1.47%,2.48
Sion,TOP,Fair / B,46.99,-2.18,50.00%,75.32%,3.02%,0.42%,1.81
Sivir,ADC,Good / A,54.55,-7.13,54.94%,97.59%,7.79%,8.65%,2.72
Skarner,,Not Placed,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00
Sona,SUPPORT,Bad / D,37.63,-2.26,46.67%,70.31%,3.93%,0.42%,2.98
Soraka,SUPPORT,Strong / S,57.30,-3.94,49.70%,93.75%,8.60%,4.56%,2.90
Swain,MID,Good / A,55.71,+3.35,57.81%,51.20%,3.02%,1.22%,3.41
Swain,SUPPORT,Bad / D,29.54,-1.05,46.94%,39.20%,1.68%,1.22%,2.63
Sylas,MID,God / S+,86.85,+12.72,54.94%,88.41%,18.26%,13.48%,2.41
Syndra,MID,Fair / B,42.97,+2.54,47.06%,79.69%,2.40%,0.63%,2.30
Tahm KenchTahm Kench,TOP,Bad / D,37.05,-4.02,40.91%,40.00%,1.16%,0.36%,1.75
Tahm KenchTahm Kench,SUPPORT,Bad / D,14.20,-17.12,38.10%,38.18%,0.75%,0.36%,2.27
Taliyah,MID,Strong / S,59.37,+4.51,59.48%,56.46%,4.68%,5.19%,2.90
Taliyah,JUNGLE,Fair / B,43.03,-10.11,47.66%,39.48%,3.38%,5.19%,3.00
Talon,MID,Fair / B,46.06,-3.91,47.37%,40.21%,3.27%,3.81%,2.62
Talon,JUNGLE,Weak / C,40.06,-10.83,44.44%,57.14%,3.70%,3.81%,2.76
Taric,SUPPORT,Good / A,48.69,+0.07,56.82%,94.96%,3.14%,0.56%,3.23
Teemo,TOP,Weak / C,40.30,-9.10,43.59%,70.91%,1.77%,1.82%,1.84
Thresh,SUPPORT,Strong / S,58.33,+17.30,47.64%,100.00%,10.06%,1.92%,2.80
Tristana,ADC,Fair / B,46.34,+2.97,54.40%,72.67%,5.41%,0.67%,2.44
Tristana,MID,Weak / C,41.85,-8.05,48.84%,25.00%,1.11%,0.67%,2.33
Trundle,TOP,Good / A,54.23,+19.44,62.96%,22.31%,0.55%,2.30%,1.75
Trundle,JUNGLE,Weak / C,42.01,-3.95,47.25%,75.21%,3.38%,2.30%,2.86
Tryndamere,TOP,Good / A,52.69,+4.83,56.57%,87.61%,2.53%,3.66%,2.10
Twisted FateTwisted Fate,MID,Weak / C,42.19,-9.34,46.30%,96.43%,2.33%,0.14%,2.29
Twitch,ADC,Fair / B,46.27,-11.47,49.68%,90.75%,7.17%,6.71%,2.55
Udyr,JUNGLE,Strong / S,58.27,+3.76,50.63%,58.74%,6.31%,31.16%,2.69
Udyr,TOP,Weak / C,37.68,-21.27,38.14%,36.06%,2.81%,31.16%,1.47
Urgot,TOP,Good / A,51.00,-5.95,55.26%,84.44%,2.04%,0.36%,2.14
Varus,ADC,Weak / C,41.03,+0.80,51.92%,73.76%,4.20%,0.76%,2.44
Varus,MID,Bad / D,26.84,-19.60,31.43%,24.82%,1.13%,0.76%,1.80
Vayne,TOP,Good / A,55.51,+12.75,60.98%,18.81%,1.73%,5.28%,2.19
Vayne,ADC,Fair / B,47.65,+7.43,55.69%,76.61%,5.34%,5.28%,2.30
Veigar,MID,Fair / B,46.81,+0.99,47.92%,75.00%,2.87%,0.95%,3.10
Vel'KozVel'Koz,,Not Placed,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00
Vex,MID,Strong / S,62.17,-0.52,58.02%,89.50%,6.37%,8.16%,2.87
Vi,JUNGLE,Fair / B,43.39,-5.18,45.45%,96.35%,4.86%,1.09%,2.71
Viego,JUNGLE,Good / A,55.71,+1.62,49.32%,96.09%,8.30%,2.52%,2.77
Viktor,MID,God / S+,67.10,+1.11,52.25%,99.31%,11.40%,6.13%,2.52
Vladimir,MID,Strong / S,61.56,+18.47,60.83%,63.83%,5.47%,7.74%,2.60
Vladimir,TOP,Good / A,55.69,+1.94,58.49%,28.19%,1.71%,7.74%,2.93
Volibear,,Not Placed,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00
Warwick,TOP,Weak / C,38.84,-6.57,42.86%,59.57%,1.50%,1.01%,1.67
Wukong,TOP,Fair / B,43.58,-5.30,48.44%,58.18%,1.19%,1.73%,1.87
Wukong,JUNGLE,Bad / D,32.01,-15.13,39.53%,39.09%,2.16%,1.73%,2.90
Xayah,ADC,Bad / D,27.34,-22.28,42.31%,100.00%,2.64%,0.06%,2.52
Xerath,MID,Fair / B,46.98,-0.51,50.00%,58.00%,1.97%,1.10%,3.23
Xerath,SUPPORT,Weak / C,41.28,+5.11,54.05%,37.00%,2.22%,1.10%,2.93
Xin ZhaoXin Zhao,JUNGLE,Good / A,53.60,+2.88,65.85%,89.13%,1.55%,0.26%,2.51
Yasuo,MID,Good / A,52.41,-4.97,45.40%,49.29%,7.42%,12.94%,1.76
Yasuo,TOP,Weak / C,39.49,-4.10,43.84%,20.68%,1.80%,12.94%,1.38
Yasuo,ADC,Bad / D,37.05,-4.59,52.48%,28.61%,2.24%,12.94%,2.16
Yone,MID,Strong / S,59.31,-1.62,51.22%,56.79%,8.35%,9.79%,2.08
Yone,TOP,Good / A,50.14,-5.79,48.95%,39.61%,5.48%,9.79%,1.86
Yorick,TOP,Weak / C,42.78,-0.61,48.84%,97.73%,1.50%,1.29%,1.35
Yuumi,SUPPORT,God / S+,93.28,+3.28,50.88%,100.00%,10.93%,40.74%,4.13
Zac,TOP,Good / A,55.35,+8.57,58.82%,30.91%,1.19%,3.64%,2.99
Zac,MID,Good / A,52.45,999NEW,61.11%,32.73%,0.95%,3.64%,2.80
Zac,JUNGLE,Weak / C,37.80,-15.05,40.00%,31.82%,3.25%,3.64%,3.79
Zed,MID,God / S+,66.40,+6.39,55.84%,64.71%,7.97%,23.77%,2.47
Zed,JUNGLE,Fair / B,46.10,+1.72,51.28%,32.77%,2.48%,23.77%,3.16
Zeri,ADC,Weak / C,37.65,-6.20,52.08%,94.12%,1.91%,0.90%,2.78
Ziggs,ADC,Fair / B,48.23,+22.09,60.87%,60.53%,0.84%,0.13%,3.61
Zilean,SUPPORT,Good / A,52.51,+7.03,54.84%,66.67%,4.02%,3.39%,4.10
Zilean,MID,Weak / C,42.50,-1.22,47.83%,24.73%,1.19%,3.39%,2.77
Zoe,MID,Good / A,49.69,+0.93,47.12%,88.14%,5.12%,3.80%,2.61
Zyra,SUPPORT,Bad / D,37.00,-0.36,52.17%,97.87%,2.50%,0.90%,2.14
